路段,时间,蓝牌车辆数,黄牌车辆数,合计,平均车速,大车混入率,拥堵路段占比,可吸入物排放量,氮氧化物排放量,一氧化碳排放量,服务水平,管控措施,路段预测流量,v2x平均车速,v2x平均车头时距,v2x车辆数,v2x行驶里程,v2x车牌号,v2x车辆类型
牟山互通_余姚西枢纽_宁波方向,2021-06-12 10:09:00,291,139,645,117,0.44,0.29,494,409,626,D,牟山互通_余姚西枢纽_宁波方向建议实行管控措施，管控措施如下：道路限速：109km/h，可通行大车车道编号：1、2，是否开放可变车道：否,413,103,8,11,102,浙A***58,小汽车
余姚西枢纽_余姚互通_杭州方向,2021-06-12 10:09:00,268,194,702,112,0.44,0.27,318,417,630,B,无,428,116,10,16,104,浙A***58,小汽车
余姚西枢纽_余姚互通_宁波方向,2021-06-12 10:09:00,208,153,789,116,0.66,0.21,455,428,713,B,余姚西枢纽_余姚互通_宁波方向建议实行管控措施，管控措施如下：道路限速：101km/h，可通行大车车道编号：1、2，是否开放可变车道：否,362,112,6,15,119,浙A***58,小汽车
余姚互通_大隐互通_杭州方向,2021-06-12 10:09:00,211,124,653,110,0.69,0.27,365,404,648,D,余姚互通_大隐互通_杭州方向建议实行管控措施，管控措施如下：道路限速：105km/h，可通行大车车道编号：1、2，是否开放可变车道：否,326,109,12,10,118,浙A***58,小汽车
余姚互通_大隐互通_宁波方向,2021-06-12 10:09:00,273,192,608,105,0.22,0.28,360,407,703,A,无,302,108,8,12,114,浙A***58,小汽车
路网,2021-06-12 10:00:00,219,175,793,118,0.45,0.22,422,413,684,A,无,350,110,6,17,115,浙A***58,小汽车
红垦枢纽_机场互通_杭州方向,2021-06-12 10:00:00,297,169,673,109,0.53,0.35,474,416,644,C,无,498,109,5,16,109,浙A***58,小汽车
红垦枢纽_机场互通_宁波方向,2021-06-12 10:00:00,226,194,738,118,0.66,0.24,370,430,620,C,红垦枢纽_机场互通_宁波方向建议实行管控措施，管控措施如下：道路限速：103km/h，可通行大车车道编号：1、2，是否开放可变车道：否,412,117,6,11,116,浙A***58,小汽车
机场互通_瓜沥互通_杭州方向,2021-06-12 10:00:00,228,109,756,104,0.3,0.26,448,407,649,D,机场互通_瓜沥互通_杭州方向建议实行管控措施，管控措施如下：道路限速：103km/h，可通行大车车道编号：1、2，是否开放可变车道：否,407,118,6,11,121,浙A***58,小汽车
机场互通_瓜沥互通_宁波方向,2021-06-12 10:00:00,201,175,793,116,0.2,0.28,427,426,722,A,机场互通_瓜沥互通_宁波方向建议实行管控措施，管控措施如下：道路限速：109km/h，可通行大车车道编号：1、2，是否开放可变车道：否,473,102,13,11,116,浙A***58,小汽车
瓜沥互通_柯桥互通_杭州方向,2021-06-12 10:00:00,263,149,645,107,0.66,0.29,486,410,683,D,无,458,113,11,17,110,浙A***58,小汽车
瓜沥互通_柯桥互通_宁波方向,2021-06-12 10:00:00,215,156,638,105,0.23,0.25,496,400,663,A,瓜沥互通_柯桥互通_宁波方向建议实行管控措施，管控措施如下：道路限速：105km/h，可通行大车车道编号：1、2，是否开放可变车道：否,385,102,11,19,100,浙A***58,小汽车
柯桥互通_齐贤枢纽_杭州方向,2021-06-12 10:00:00,251,158,673,116,0.45,0.37,405,405,750,B,无,459,115,5,10,115,浙A***58,小汽车
柯桥互通_齐贤枢纽_宁波方向,2021-06-12 10:00:00,227,152,725,110,0.5,0.23,412,412,601,C,柯桥互通_齐贤枢纽_宁波方向建议实行管控措施，管控措施如下：道路限速：107km/h，可通行大车车道编号：1、2，是否开放可变车道：否,428,107,12,16,107,浙A***58,小汽车
齐贤枢纽_绍兴互通_杭州方向,2021-06-12 10:00:00,236,159,790,109,0.63,0.23,353,430,611,C,齐贤枢纽_绍兴互通_杭州方向建议实行管控措施，管控措施如下：道路限速：107km/h，可通行大车车道编号：1、2，是否开放可变车道：否,378,108,9,13,128,浙A***58,小汽车
齐贤枢纽_绍兴互通_宁波方向,2021-06-12 10:00:00,299,138,695,106,0.59,0.24,409,425,659,B,无,421,110,11,11,111,浙A***58,小汽车
绍兴互通_沽渚枢纽_杭州方向,2021-06-12 10:00:00,210,193,691,109,0.34,0.3,467,404,727,C,绍兴互通_沽渚枢纽_杭州方向建议实行管控措施，管控措施如下：道路限速：105km/h，可通行大车车道编号：1、2，是否开放可变车道：否,480,106,7,16,111,浙A***58,小汽车
绍兴互通_沽渚枢纽_宁波方向,2021-06-12 10:00:00,203,163,795,117,0.42,0.27,457,410,625,A,绍兴互通_沽渚枢纽_宁波方向建议实行管控措施，管控措施如下：道路限速：107km/h，可通行大车车道编号：1、2，是否开放可变车道：否,418,117,8,13,131,浙A***58,小汽车
沽渚枢纽_上虞互通_杭州方向,2021-06-12 10:00:00,242,158,605,104,0.68,0.31,447,419,717,B,无,394,113,6,12,126,浙A***58,小汽车
沽渚枢纽_上虞互通_宁波方向,2021-06-12 10:00:00,296,109,782,112,0.23,0.28,416,423,712,D,无,301,110,6,14,131,浙A***58,小汽车
上虞互通_牟山互通_杭州方向,2021-06-12 10:00:00,222,112,767,117,0.31,0.28,455,402,705,A,无,381,117,12,14,109,浙A***58,小汽车
上虞互通_牟山互通_宁波方向,2021-06-12 10:00:00,200,105,620,117,0.26,0.25,489,409,721,D,上虞互通_牟山互通_宁波方向建议实行管控措施，管控措施如下：道路限速：105km/h，可通行大车车道编号：1、2，是否开放可变车道：否,459,112,6,15,115,浙A***58,小汽车
牟山互通_余姚西枢纽_杭州方向,2021-06-12 10:00:00,266,126,721,118,0.27,0.39,494,431,620,A,无,462,109,13,14,124,浙A***58,小汽车
牟山互通_余姚西枢纽_宁波方向,2021-06-12 10:00:00,253,119,788,114,0.32,0.29,391,410,715,C,无,470,106,3,14,105,浙A***58,小汽车
余姚西枢纽_余姚互通_杭州方向,2021-06-12 10:00:00,275,100,662,109,0.35,0.23,370,420,749,C,无,460,107,5,12,126,浙A***58,小汽车
余姚西枢纽_余姚互通_宁波方向,2021-06-12 10:00:00,215,140,650,116,0.42,0.3,341,414,698,C,余姚西枢纽_余姚互通_宁波方向建议实行管控措施，管控措施如下：道路限速：107km/h，可通行大车车道编号：1、2，是否开放可变车道：否,384,106,13,11,129,浙A***58,小汽车
余姚互通_大隐互通_杭州方向,2021-06-12 10:00:00,233,166,622,111,0.26,0.32,478,428,648,D,余姚互通_大隐互通_杭州方向建议实行管控措施，管控措施如下：道路限速：104km/h，可通行大车车道编号：1、2，是否开放可变车道：否,445,107,14,14,124,浙A***58,小汽车
余姚互通_大隐互通_宁波方向,2021-06-12 10:00:00,212,121,652,108,0.56,0.33,369,411,689,D,无,475,113,12,10,109,浙A***58,小汽车
路网,2021-06-12 10:11:00,229,131,678,112,0.57,0.27,411,414,619,A,无,350,115,4,17,127,浙A***58,小汽车
红垦枢纽_机场互通_杭州方向,2021-06-12 10:11:00,275,160,722,113,0.67,0.25,372,411,729,C,无,498,102,12,10,100,浙A***58,小汽车
红垦枢纽_机场互通_宁波方向,2021-06-12 10:11:00,201,125,604,115,0.24,0.31,357,426,645,C,红垦枢纽_机场互通_宁波方向建议实行管控措施，管控措施如下：道路限速：104km/h，可通行大车车道编号：1、2，是否开放可变车道：否,412,103,11,11,119,浙A***58,小汽车
机场互通_瓜沥互通_杭州方向,2021-06-12 10:11:00,234,156,699,117,0.33,0.33,326,408,664,D,机场互通_瓜沥互通_杭州方向建议实行管控措施，管控措施如下：道路限速：103km/h，可通行大车车道编号：1、2，是否开放可变车道：否,407,109,11,11,105,浙A***58,小汽车
机场互通_瓜沥互通_宁波方向,2021-06-12 10:11:00,257,100,668,111,0.23,0.28,444,430,738,A,机场互通_瓜沥互通_宁波方向建议实行管控措施，管控措施如下：道路限速：104km/h，可通行大车车道编号：1、2，是否开放可变车道：否,473,114,13,13,131,浙A***58,小汽车
瓜沥互通_柯桥互通_杭州方向,2021-06-12 10:11:00,224,150,785,109,0.44,0.31,401,410,723,D,无,458,103,8,12,103,浙A***58,小汽车
瓜沥互通_柯桥互通_宁波方向,2021-06-12 10:11:00,264,175,759,104,0.67,0.26,341,401,618,A,瓜沥互通_柯桥互通_宁波方向建议实行管控措施，管控措施如下：道路限速：104km/h，可通行大车车道编号：1、2，是否开放可变车道：否,385,104,8,12,100,浙A***58,小汽车
柯桥互通_齐贤枢纽_杭州方向,2021-06-12 10:11:00,272,163,777,108,0.26,0.28,393,414,653,B,无,459,117,4,16,120,浙A***58,小汽车
柯桥互通_齐贤枢纽_宁波方向,2021-06-12 10:11:00,225,108,729,107,0.5,0.29,449,416,694,C,柯桥互通_齐贤枢纽_宁波方向建议实行管控措施，管控措施如下：道路限速：105km/h，可通行大车车道编号：1、2，是否开放可变车道：否,428,109,12,13,107,浙A***58,小汽车
齐贤枢纽_绍兴互通_杭州方向,2021-06-12 10:11:00,282,120,719,109,0.53,0.34,421,409,719,C,齐贤枢纽_绍兴互通_杭州方向建议实行管控措施，管控措施如下：道路限速：109km/h，可通行大车车道编号：1、2，是否开放可变车道：否,378,103,10,13,107,浙A***58,小汽车
齐贤枢纽_绍兴互通_宁波方向,2021-06-12 10:11:00,221,140,752,116,0.47,0.39,309,408,612,B,无,421,107,11,16,120,浙A***58,小汽车
绍兴互通_沽渚枢纽_杭州方向,2021-06-12 10:11:00,284,121,742,117,0.56,0.25,433,412,741,C,绍兴互通_沽渚枢纽_杭州方向建议实行管控措施，管控措施如下：道路限速：104km/h，可通行大车车道编号：1、2，是否开放可变车道：否,480,117,7,16,108,浙A***58,小汽车
绍兴互通_沽渚枢纽_宁波方向,2021-06-12 10:11:00,208,177,685,104,0.58,0.2,337,407,649,A,绍兴互通_沽渚枢纽_宁波方向建议实行管控措施，管控措施如下：道路限速：100km/h，可通行大车车道编号：1、2，是否开放可变车道：否,418,110,14,18,128,浙A***58,小汽车
沽渚枢纽_上虞互通_杭州方向,2021-06-12 10:11:00,278,101,602,118,0.61,0.26,363,416,687,B,无,394,102,8,10,113,浙A***58,小汽车
沽渚枢纽_上虞互通_宁波方向,2021-06-12 10:11:00,201,135,669,112,0.33,0.26,459,424,727,D,无,301,104,9,14,112,浙A***58,小汽车
上虞互通_牟山互通_杭州方向,2021-06-12 10:11:00,248,181,762,116,0.49,0.22,411,419,716,A,无,381,103,3,19,129,浙A***58,小汽车
上虞互通_牟山互通_宁波方向,2021-06-12 10:11:00,227,131,723,104,0.4,0.2,433,427,667,D,上虞互通_牟山互通_宁波方向建议实行管控措施，管控措施如下：道路限速：106km/h，可通行大车车道编号：1、2，是否开放可变车道：否,459,103,7,13,110,浙A***58,小汽车
牟山互通_余姚西枢纽_杭州方向,2021-06-12 10:11:00,278,195,789,113,0.22,0.28,347,403,638,A,无,462,110,13,17,119,浙A***58,小汽车
牟山互通_余姚西枢纽_宁波方向,2021-06-12 10:11:00,257,139,617,117,0.33,0.31,483,415,662,C,无,470,110,12,19,117,浙A***58,小汽车
余姚西枢纽_余姚互通_杭州方向,2021-06-12 10:11:00,224,170,730,103,0.5,0.39,444,408,688,C,无,460,115,3,14,125,浙A***58,小汽车
余姚西枢纽_余姚互通_宁波方向,2021-06-12 10:11:00,247,133,655,105,0.27,0.33,347,403,651,C,余姚西枢纽_余姚互通_宁波方向建议实行管控措施，管控措施如下：道路限速：107km/h，可通行大车车道编号：1、2，是否开放可变车道：否,384,103,14,16,114,浙A***58,小汽车
余姚互通_大隐互通_杭州方向,2021-06-12 10:11:00,215,143,730,107,0.6,0.22,448,415,690,D,余姚互通_大隐互通_杭州方向建议实行管控措施，管控措施如下：道路限速：104km/h，可通行大车车道编号：1、2，是否开放可变车道：否,445,118,4,18,123,浙A***58,小汽车
余姚互通_大隐互通_宁波方向,2021-06-12 10:11:00,237,157,774,118,0.33,0.28,407,428,742,D,无,475,114,11,13,127,浙A***58,小汽车
路网,2021-06-12 10:12:00,209,111,748,115,0.36,0.28,473,404,604,A,无,350,102,11,17,100,浙A***58,小汽车
红垦枢纽_机场互通_杭州方向,2021-06-12 10:12:00,253,192,793,106,0.45,0.2,444,421,714,C,无,498,116,5,10,117,浙A***58,小汽车
红垦枢纽_机场互通_宁波方向,2021-06-12 10:12:00,256,181,603,108,0.54,0.23,349,413,619,C,红垦枢纽_机场互通_宁波方向建议实行管控措施，管控措施如下：道路限速：101km/h，可通行大车车道编号：1、2，是否开放可变车道：否,412,106,10,15,123,浙A***58,小汽车
机场互通_瓜沥互通_杭州方向,2021-06-12 10:12:00,247,152,749,114,0.4,0.38,485,425,675,D,机场互通_瓜沥互通_杭州方向建议实行管控措施，管控措施如下：道路限速：108km/h，可通行大车车道编号：1、2，是否开放可变车道：否,407,116,13,15,126,浙A***58,小汽车
机场互通_瓜沥互通_宁波方向,2021-06-12 10:12:00,295,159,608,104,0.69,0.3,351,426,729,A,机场互通_瓜沥互通_宁波方向建议实行管控措施，管控措施如下：道路限速：106km/h，可通行大车车道编号：1、2，是否开放可变车道：否,473,106,13,12,128,浙A***58,小汽车
瓜沥互通_柯桥互通_杭州方向,2021-06-12 10:12:00,294,121,649,118,0.53,0.24,391,422,725,D,无,458,103,6,11,117,浙A***58,小汽车
瓜沥互通_柯桥互通_宁波方向,2021-06-12 10:12:00,215,112,734,111,0.69,0.38,311,430,634,A,瓜沥互通_柯桥互通_宁波方向建议实行管控措施，管控措施如下：道路限速：107km/h，可通行大车车道编号：1、2，是否开放可变车道：否,385,116,12,12,112,浙A***58,小汽车
柯桥互通_齐贤枢纽_杭州方向,2021-06-12 10:12:00,260,112,662,105,0.63,0.2,386,403,733,B,无,459,110,11,13,108,浙A***58,小汽车
柯桥互通_齐贤枢纽_宁波方向,2021-06-12 10:12:00,273,135,663,106,0.56,0.33,352,401,623,C,柯桥互通_齐贤枢纽_宁波方向建议实行管控措施，管控措施如下：道路限速：101km/h，可通行大车车道编号：1、2，是否开放可变车道：否,428,106,10,12,120,浙A***58,小汽车
齐贤枢纽_绍兴互通_杭州方向,2021-06-12 10:12:00,271,169,648,104,0.49,0.27,331,401,606,C,齐贤枢纽_绍兴互通_杭州方向建议实行管控措施，管控措施如下：道路限速：105km/h，可通行大车车道编号：1、2，是否开放可变车道：否,378,115,10,17,117,浙A***58,小汽车
齐贤枢纽_绍兴互通_宁波方向,2021-06-12 10:12:00,217,113,747,105,0.49,0.36,426,418,662,B,无,421,104,6,14,111,浙A***58,小汽车
绍兴互通_沽渚枢纽_杭州方向,2021-06-12 10:12:00,298,158,661,115,0.44,0.27,304,410,744,C,绍兴互通_沽渚枢纽_杭州方向建议实行管控措施，管控措施如下：道路限速：101km/h，可通行大车车道编号：1、2，是否开放可变车道：否,480,102,4,14,126,浙A***58,小汽车
绍兴互通_沽渚枢纽_宁波方向,2021-06-12 10:12:00,239,120,623,103,0.21,0.37,443,418,631,A,绍兴互通_沽渚枢纽_宁波方向建议实行管控措施，管控措施如下：道路限速：108km/h，可通行大车车道编号：1、2，是否开放可变车道：否,418,115,14,11,113,浙A***58,小汽车
沽渚枢纽_上虞互通_杭州方向,2021-06-12 10:12:00,232,188,750,104,0.34,0.32,331,411,690,B,无,394,103,6,10,129,浙A***58,小汽车
沽渚枢纽_上虞互通_宁波方向,2021-06-12 10:12:00,295,148,672,110,0.22,0.24,350,405,603,D,无,301,108,7,16,123,浙A***58,小汽车
上虞互通_牟山互通_杭州方向,2021-06-12 10:12:00,230,141,633,118,0.24,0.28,409,416,680,A,无,381,105,4,18,102,浙A***58,小汽车
上虞互通_牟山互通_宁波方向,2021-06-12 10:12:00,263,139,634,104,0.55,0.26,410,417,667,D,上虞互通_牟山互通_宁波方向建议实行管控措施，管控措施如下：道路限速：107km/h，可通行大车车道编号：1、2，是否开放可变车道：否,459,113,11,10,130,浙A***58,小汽车
牟山互通_余姚西枢纽_杭州方向,2021-06-12 10:12:00,248,184,696,116,0.63,0.34,454,404,604,A,无,462,111,6,14,101,浙A***58,小汽车
牟山互通_余姚西枢纽_宁波方向,2021-06-12 10:12:00,273,137,683,108,0.58,0.39,308,403,677,C,无,470,112,13,10,106,浙A***58,小汽车
余姚西枢纽_余姚互通_杭州方向,2021-06-12 10:12:00,281,148,759,114,0.51,0.4,377,426,603,C,无,460,114,5,15,106,浙A***58,小汽车
余姚西枢纽_余姚互通_宁波方向,2021-06-12 10:12:00,222,182,713,108,0.25,0.38,480,425,613,C,余姚西枢纽_余姚互通_宁波方向建议实行管控措施，管控措施如下：道路限速：106km/h，可通行大车车道编号：1、2，是否开放可变车道：否,384,106,4,17,103,浙A***58,小汽车
余姚互通_大隐互通_杭州方向,2021-06-12 10:12:00,216,184,660,106,0.49,0.37,465,404,655,D,余姚互通_大隐互通_杭州方向建议实行管控措施，管控措施如下：道路限速：105km/h，可通行大车车道编号：1、2，是否开放可变车道：否,445,108,5,13,124,浙A***58,小汽车
余姚互通_大隐互通_宁波方向,2021-06-12 10:12:00,221,105,737,109,0.28,0.28,471,416,672,D,无,475,111,13,13,101,浙A***58,小汽车
路网,2021-06-12 10:13:00,281,192,780,111,0.57,0.33,345,417,628,A,无,350,110,14,12,112,浙A***58,小汽车
红垦枢纽_机场互通_杭州方向,2021-06-12 10:13:00,218,190,706,117,0.35,0.26,462,406,708,C,无,498,117,11,14,130,浙A***58,小汽车
红垦枢纽_机场互通_宁波方向,2021-06-12 10:13:00,215,148,696,113,0.29,0.33,331,424,607,C,红垦枢纽_机场互通_宁波方向建议实行管控措施，管控措施如下：道路限速：105km/h，可通行大车车道编号：1、2，是否开放可变车道：否,412,115,6,16,109,浙A***58,小汽车
机场互通_瓜沥互通_杭州方向,2021-06-12 10:13:00,233,125,699,112,0.7,0.33,344,423,692,D,机场互通_瓜沥互通_杭州方向建议实行管控措施，管控措施如下：道路限速：109km/h，可通行大车车道编号：1、2，是否开放可变车道：否,407,107,4,14,110,浙A***58,小汽车
机场互通_瓜沥互通_宁波方向,2021-06-12 10:13:00,261,116,791,107,0.57,0.22,443,418,683,A,机场互通_瓜沥互通_宁波方向建议实行管控措施，管控措施如下：道路限速：107km/h，可通行大车车道编号：1、2，是否开放可变车道：否,473,103,3,11,122,浙A***58,小汽车
瓜沥互通_柯桥互通_杭州方向,2021-06-12 10:13:00,267,120,703,112,0.48,0.32,324,402,720,D,无,458,108,11,10,102,浙A***58,小汽车
瓜沥互通_柯桥互通_宁波方向,2021-06-12 10:13:00,234,109,646,109,0.26,0.31,422,401,740,A,瓜沥互通_柯桥互通_宁波方向建议实行管控措施，管控措施如下：道路限速：105km/h，可通行大车车道编号：1、2，是否开放可变车道：否,385,117,10,15,117,浙A***58,小汽车
柯桥互通_齐贤枢纽_杭州方向,2021-06-12 10:13:00,287,172,644,116,0.65,0.28,386,400,747,B,无,459,109,14,11,108,浙A***58,小汽车
柯桥互通_齐贤枢纽_宁波方向,2021-06-12 10:13:00,218,160,739,111,0.3,0.25,381,418,730,C,柯桥互通_齐贤枢纽_宁波方向建议实行管控措施，管控措施如下：道路限速：105km/h，可通行大车车道编号：1、2，是否开放可变车道：否,428,104,6,10,128,浙A***58,小汽车
齐贤枢纽_绍兴互通_杭州方向,2021-06-12 10:13:00,218,194,629,107,0.5,0.3,379,409,602,C,齐贤枢纽_绍兴互通_杭州方向建议实行管控措施，管控措施如下：道路限速：106km/h，可通行大车车道编号：1、2，是否开放可变车道：否,378,104,14,12,114,浙A***58,小汽车
齐贤枢纽_绍兴互通_宁波方向,2021-06-12 10:13:00,219,109,605,109,0.26,0.26,451,416,708,B,无,421,117,6,11,123,浙A***58,小汽车
绍兴互通_沽渚枢纽_杭州方向,2021-06-12 10:13:00,215,174,791,110,0.49,0.21,371,426,656,C,绍兴互通_沽渚枢纽_杭州方向建议实行管控措施，管控措施如下：道路限速：107km/h，可通行大车车道编号：1、2，是否开放可变车道：否,480,109,14,19,107,浙A***58,小汽车
绍兴互通_沽渚枢纽_宁波方向,2021-06-12 10:13:00,213,152,738,106,0.5,0.37,414,409,734,A,绍兴互通_沽渚枢纽_宁波方向建议实行管控措施，管控措施如下：道路限速：106km/h，可通行大车车道编号：1、2，是否开放可变车道：否,418,108,10,19,110,浙A***58,小汽车
沽渚枢纽_上虞互通_杭州方向,2021-06-12 10:13:00,263,135,666,108,0.31,0.26,491,415,608,B,无,394,118,4,17,117,浙A***58,小汽车
沽渚枢纽_上虞互通_宁波方向,2021-06-12 10:13:00,201,131,653,109,0.63,0.31,499,425,735,D,无,301,109,6,19,120,浙A***58,小汽车
上虞互通_牟山互通_杭州方向,2021-06-12 10:13:00,222,144,721,108,0.63,0.31,389,408,663,A,无,381,115,11,14,121,浙A***58,小汽车
上虞互通_牟山互通_宁波方向,2021-06-12 10:13:00,252,108,709,114,0.6,0.24,392,402,677,D,上虞互通_牟山互通_宁波方向建议实行管控措施，管控措施如下：道路限速：105km/h，可通行大车车道编号：1、2，是否开放可变车道：否,459,111,3,10,108,浙A***58,小汽车
牟山互通_余姚西枢纽_杭州方向,2021-06-12 10:13:00,274,115,734,110,0.58,0.22,490,400,745,A,无,462,110,12,18,106,浙A***58,小汽车
牟山互通_余姚西枢纽_宁波方向,2021-06-12 10:13:00,283,155,732,108,0.42,0.25,398,409,624,C,无,470,111,6,14,127,浙A***58,小汽车
余姚西枢纽_余姚互通_杭州方向,2021-06-12 10:13:00,276,123,606,106,0.38,0.27,352,411,644,C,无,460,118,6,17,112,浙A***58,小汽车
余姚西枢纽_余姚互通_宁波方向,2021-06-12 10:13:00,293,168,722,107,0.33,0.29,387,421,670,C,余姚西枢纽_余姚互通_宁波方向建议实行管控措施，管控措施如下：道路限速：100km/h，可通行大车车道编号：1、2，是否开放可变车道：否,384,117,6,17,120,浙A***58,小汽车
余姚互通_大隐互通_杭州方向,2021-06-12 10:13:00,266,126,663,110,0.3,0.37,361,417,602,D,余姚互通_大隐互通_杭州方向建议实行管控措施，管控措施如下：道路限速：100km/h，可通行大车车道编号：1、2，是否开放可变车道：否,445,117,11,11,106,浙A***58,小汽车
余姚互通_大隐互通_宁波方向,2021-06-12 10:13:00,236,140,660,114,0.23,0.29,445,411,649,D,无,475,105,9,19,101,浙A***58,小汽车
路网,2021-06-12 10:14:00,200,151,616,117,0.31,0.21,482,419,656,A,无,350,108,8,16,128,浙A***58,小汽车
红垦枢纽_机场互通_杭州方向,2021-06-12 10:14:00,268,141,781,117,0.53,0.3,446,401,613,C,无,498,117,9,15,127,浙A***58,小汽车
红垦枢纽_机场互通_宁波方向,2021-06-12 10:14:00,202,110,798,110,0.37,0.26,320,422,610,C,红垦枢纽_机场互通_宁波方向建议实行管控措施，管控措施如下：道路限速：108km/h，可通行大车车道编号：1、2，是否开放可变车道：否,412,118,10,13,124,浙A***58,小汽车
机场互通_瓜沥互通_杭州方向,2021-06-12 10:14:00,269,119,750,115,0.43,0.27,409,402,708,D,机场互通_瓜沥互通_杭州方向建议实行管控措施，管控措施如下：道路限速：107km/h，可通行大车车道编号：1、2，是否开放可变车道：否,407,113,8,19,112,浙A***58,小汽车
机场互通_瓜沥互通_宁波方向,2021-06-12 10:14:00,291,131,765,117,0.51,0.38,405,420,666,A,机场互通_瓜沥互通_宁波方向建议实行管控措施，管控措施如下：道路限速：107km/h，可通行大车车道编号：1、2，是否开放可变车道：否,473,111,13,14,126,浙A***58,小汽车
瓜沥互通_柯桥互通_杭州方向,2021-06-12 10:14:00,266,100,612,106,0.51,0.29,327,401,727,D,无,458,110,12,11,104,浙A***58,小汽车
瓜沥互通_柯桥互通_宁波方向,2021-06-12 10:14:00,276,186,743,110,0.67,0.29,331,427,624,A,瓜沥互通_柯桥互通_宁波方向建议实行管控措施，管控措施如下：道路限速：109km/h，可通行大车车道编号：1、2，是否开放可变车道：否,385,108,9,15,113,浙A***58,小汽车
柯桥互通_齐贤枢纽_杭州方向,2021-06-12 10:14:00,278,143,761,106,0.6,0.21,327,428,748,B,无,459,103,3,16,130,浙A***58,小汽车
柯桥互通_齐贤枢纽_宁波方向,2021-06-12 10:14:00,281,157,711,109,0.67,0.38,403,408,689,C,柯桥互通_齐贤枢纽_宁波方向建议实行管控措施，管控措施如下：道路限速：107km/h，可通行大车车道编号：1、2，是否开放可变车道：否,428,117,9,18,108,浙A***58,小汽车
齐贤枢纽_绍兴互通_杭州方向,2021-06-12 10:14:00,247,123,681,110,0.54,0.34,351,407,683,C,齐贤枢纽_绍兴互通_杭州方向建议实行管控措施，管控措施如下：道路限速：102km/h，可通行大车车道编号：1、2，是否开放可变车道：否,378,110,8,19,124,浙A***58,小汽车
齐贤枢纽_绍兴互通_宁波方向,2021-06-12 10:14:00,260,102,748,111,0.52,0.27,353,423,654,B,无,421,102,14,15,116,浙A***58,小汽车
绍兴互通_沽渚枢纽_杭州方向,2021-06-12 10:14:00,233,182,636,111,0.36,0.32,493,427,688,C,绍兴互通_沽渚枢纽_杭州方向建议实行管控措施，管控措施如下：道路限速：108km/h，可通行大车车道编号：1、2，是否开放可变车道：否,480,111,8,14,110,浙A***58,小汽车
绍兴互通_沽渚枢纽_宁波方向,2021-06-12 10:14:00,230,120,682,106,0.25,0.24,411,417,716,A,绍兴互通_沽渚枢纽_宁波方向建议实行管控措施，管控措施如下：道路限速：102km/h，可通行大车车道编号：1、2，是否开放可变车道：否,418,105,8,13,131,浙A***58,小汽车
沽渚枢纽_上虞互通_杭州方向,2021-06-12 10:14:00,242,148,790,103,0.7,0.24,330,412,669,B,无,394,102,14,19,123,浙A***58,小汽车
沽渚枢纽_上虞互通_宁波方向,2021-06-12 10:14:00,204,171,638,105,0.44,0.33,381,408,688,D,无,301,108,9,11,127,浙A***58,小汽车
上虞互通_牟山互通_杭州方向,2021-06-12 10:14:00,242,129,786,110,0.57,0.4,404,417,603,A,无,381,107,4,12,100,浙A***58,小汽车
上虞互通_牟山互通_宁波方向,2021-06-12 10:14:00,234,115,636,115,0.59,0.21,353,423,662,D,上虞互通_牟山互通_宁波方向建议实行管控措施，管控措施如下：道路限速：108km/h，可通行大车车道编号：1、2，是否开放可变车道：否,459,118,9,16,123,浙A***58,小汽车
牟山互通_余姚西枢纽_杭州方向,2021-06-12 10:14:00,276,172,724,106,0.21,0.26,436,417,700,A,无,462,105,9,16,118,浙A***58,小汽车
牟山互通_余姚西枢纽_宁波方向,2021-06-12 10:14:00,218,115,636,118,0.29,0.23,312,420,621,C,无,470,112,10,15,123,浙A***58,小汽车
余姚西枢纽_余姚互通_杭州方向,2021-06-12 10:14:00,227,137,637,116,0.33,0.24,381,423,727,C,无,460,103,4,17,109,浙A***58,小汽车
余姚西枢纽_余姚互通_宁波方向,2021-06-12 10:14:00,246,171,625,103,0.48,0.33,360,420,605,C,余姚西枢纽_余姚互通_宁波方向建议实行管控措施，管控措施如下：道路限速：103km/h，可通行大车车道编号：1、2，是否开放可变车道：否,384,111,4,15,128,浙A***58,小汽车
余姚互通_大隐互通_杭州方向,2021-06-12 10:14:00,235,153,732,114,0.44,0.33,343,420,702,D,余姚互通_大隐互通_杭州方向建议实行管控措施，管控措施如下：道路限速：102km/h，可通行大车车道编号：1、2，是否开放可变车道：否,445,112,6,13,116,浙A***58,小汽车
余姚互通_大隐互通_宁波方向,2021-06-12 10:14:00,255,108,769,109,0.47,0.36,472,404,644,D,无,475,110,4,16,113,浙A***58,小汽车
路网,2021-06-12 10:15:00,265,160,757,107,0.28,0.36,419,401,603,A,无,350,114,4,11,115,浙A***58,小汽车
红垦枢纽_机场互通_杭州方向,2021-06-12 10:15:00,210,117,797,104,0.23,0.35,464,415,710,C,无,498,112,8,19,125,浙A***58,小汽车
红垦枢纽_机场互通_宁波方向,2021-06-12 10:15:00,286,168,734,116,0.5,0.33,423,427,602,C,红垦枢纽_机场互通_宁波方向建议实行管控措施，管控措施如下：道路限速：102km/h，可通行大车车道编号：1、2，是否开放可变车道：否,412,111,13,11,117,浙A***58,小汽车
